nvda_high,nvda_low,nvda_open,nvda_close,intel_high,intel_low,intel_close,amd_high,amd_low,amd_close,qcom_high,qcom_low,qcom_close,google_high,google_low,google_close,nvda_high,intel_open,amd_open,qcom_open,google_open,NVDA_RSI,NVDA_BBB_5_2.0,NVDA_VWAP,Year,CPIAUCNS,GDP,Basic Average Shares,Cost Of Revenue,Interest Expense,Other Income Expense,Reconciled Depreciation,Selling General And Administration,Accumulated Depreciation,Buildings And Improvements,Cash And Cash Equivalents,Current Liabilities,Gains Losses Not Affecting Retained Earnings,Long Term Debt,Non Current Prepaid Assets,Other Properties,Tradeand Other Payables Non Current,Cash Dividends Paid,Change In Prepaid Assets,Changes In Cash,Common Stock Dividend Paid,Income Tax Paid Supplemental Data,Sale Of Investment,price_change_percentage,Datetime
-0.900311014,-0.896539638,14.08300018,14.12903287,0.976660831,0.980205669,0.988293763,-0.622485628,-0.60166934,-0.607962052,-0.470693317,-0.496615875,-0.465901877,-2.125240069,-2.130489835,-2.10861384,-0.900311014,0.966943987,-0.615398124,-0.515007805,-2.136708192,-0.412276604,-0.465922562,-1.402012845,-2.011415697,-0.305081386,-0.436437046,-0.299454464,0.048766444,0.173050983,0.198632921,-0.411781137,-0.393200334,-0.424106989,0.424106989,0.102122366,0.34070619,0.046645622,-0.24355193,0.276806701,0.17640183,0.367817774,-0.433867569,-0.187201541,-0.005240358,0.365208985,-0.397714694,0.035380292,0.180624253,10/12/2020 14:30
-0.897199804,-0.890776907,14.13092955,14.22737425,0.988821695,1.003783481,1.005920268,-0.62938557,-0.620055322,-0.623604673,-0.448082019,-0.442536668,-0.423477959,-2.109961058,-2.095043892,-2.089978257,-0.897199804,0.987656926,-0.607740863,-0.465422166,-2.110614959,-0.412276604,-0.465922562,-1.396039675,-2.011415697,-0.305081386,-0.436437046,-0.299454464,0.048766444,0.173050983,0.198632921,-0.411781137,-0.393200334,-0.424106989,0.424106989,0.102122366,0.34070619,0.046645622,-0.24355193,0.276806701,0.17640183,0.367817774,-0.433867569,-0.187201541,-0.005240358,0.365208985,-0.397714694,0.035380292,0.083197998,10/12/2020 15:30
-0.89463399,-0.883405397,14.2294998,14.25475005,1.017647569,1.024187109,1.034393763,-0.64104121,-0.616553126,-0.627515154,-0.418634972,-0.417984436,-0.407569314,-2.07776293,-2.075278291,-2.064696953,-0.89463399,1.005351731,-0.623603081,-0.424586962,-2.087833056,-0.412276604,-0.465922562,-1.389176588,-2.011415697,-0.305081386,-0.436437046,-0.299454464,0.048766444,0.173050983,0.198632921,-0.411781137,-0.393200334,-0.424106989,0.424106989,0.102122366,0.34070619,0.046645622,-0.24355193,0.276806701,0.17640183,0.367817774,-0.433867569,-0.187201541,-0.005240358,0.365208985,-0.397714694,0.035380292,0.189294929,10/12/2020 16:30
-0.887764935,-0.880310135,14.26537475,14.34375,1.022151626,1.043683996,1.039817393,-0.640177946,-0.609986935,-0.625994213,-0.41916092,-0.400867464,-0.391283576,-2.040813174,-2.045483824,-2.024331501,-0.887764935,1.038789049,-0.627079423,-0.410267857,-2.059938315,-0.412276604,-0.17823498,-1.38065728,-2.011415697,-0.305081386,-0.436437046,-0.299454464,0.048766444,0.173050983,0.198632921,-0.411781137,-0.393200334,-0.424106989,0.424106989,0.102122366,0.34070619,0.046645622,-0.24355193,0.276806701,0.17640183,0.367817774,-0.433867569,-0.187201541,-0.005240358,0.365208985,-0.397714694,0.035380292,0.056996164,10/12/2020 17:30
-0.887663947,-0.881857767,14.34474945,14.25562438,1.02485424,1.04096359,1.027614247,-0.63931507,-0.627278464,-0.647333528,-0.416494634,-0.403012442,-0.429841682,-2.040468996,-2.054849408,-2.069679704,-0.887663947,1.039240997,-0.626206144,-0.389585063,-2.020149292,-0.412276604,-0.440493038,-1.375281843,-2.011415697,-0.305081386,-0.436437046,-0.299454464,0.048766444,0.173050983,0.198632921,-0.411781137,-0.393200334,-0.424106989,0.424106989,0.102122366,0.34070619,0.046645622,-0.24355193,0.276806701,0.17640183,0.367817774,-0.433867569,-0.187201541,-0.005240358,0.365208985,-0.397714694,0.035380292,0.147376324,10/12/2020 18:30
-0.893543198,-0.882706653,14.25525053,14.21799925,1.009540266,1.023733602,1.015411463,-0.650534439,-0.63056156,-0.636640016,-0.450711391,-0.423868466,-0.432492902,-2.087673054,-2.068114999,-2.082905147,-0.893543198,1.027944575,-0.647287351,-0.434132944,-2.06926308,-0.412276604,-0.700736291,-1.37309331,-2.011415697,-0.305081386,-0.436437046,-0.299454464,0.048766444,0.173050983,0.198632921,-0.411781137,-0.393200334,-0.424106989,0.424106989,0.102122366,0.34070619,0.046645622,-0.24355193,0.276806701,0.17640183,0.367817774,-0.433867569,-0.187201541,-0.005240358,0.365208985,-0.397714694,0.035380292,-0.203195208,10/12/2020 19:30
-0.890755057,-0.89696731,14.29649963,14.19524992,1.032060551,1.015572115,1.013151474,-0.606519106,-0.627497215,-0.592688685,-0.413902176,-0.474625687,-0.436204981,-2.049099674,-2.059439252,-2.067188167,-0.890755057,1.050537418,-0.611869372,-0.393297316,-2.049262502,-0.412276604,-0.635158691,-1.372443925,-2.011415697,-0.305081386,-0.436437046,-0.299454464,0.048766444,0.173050983,0.198632921,-0.411781137,-0.393200334,-0.424106989,0.424106989,0.102122366,0.34070619,0.046645622,-0.24355193,0.276806701,0.17640183,0.367817774,-0.433867569,-0.187201541,-0.005240358,0.365208985,-0.397714694,0.035380292,0.068058071,10/13/2020 13:30
-0.890047879,-0.88860038,14.19524992,14.30525053,1.023503113,1.015572115,1.033941711,-0.581059354,-0.579960514,-0.568425112,-0.391817246,-0.446869468,-0.384766491,-2.060113113,-2.061243192,-2.045852688,-0.890047879,1.013485155,-0.592695907,-0.438905697,-2.067832478,-0.412276604,-0.591672293,-1.370481451,-2.011415697,-0.305081386,-0.436437046,-0.299454464,0.048766444,0.173050983,0.198632921,-0.411781137,-0.393200334,-0.424106989,0.424106989,0.102122366,0.34070619,0.046645622,-0.24355193,0.276806701,0.17640183,0.367817774,-0.433867569,-0.187201541,-0.005240358,0.365208985,-0.397714694,0.035380292,-0.228233036,10/13/2020 14:30
-0.88754298,-0.886439513,14.30650022,14.20924988,1.02485424,1.027814527,1.021558142,-0.589184695,-0.616115625,-0.614262379,-0.389713453,-0.417449422,-0.426660006,-2.052170794,-2.062967783,-2.06969297,-0.88754298,1.034270571,-0.568772577,-0.384546828,-2.042334895,-0.412276604,-0.750946157,-1.369069019,-2.011415697,-0.305081386,-0.436437046,-0.299454464,0.048766444,0.173050983,0.198632921,-0.411781137,-0.393200334,-0.424106989,0.424106989,0.102122366,0.34070619,0.046645622,-0.24355193,0.276806701,0.17640183,0.367817774,-0.433867569,-0.187201541,-0.005240358,0.365208985,-0.397714694,0.035380292,0.214887034,10/13/2020 15:30
-0.894371342,-0.885461988,14.20599975,14.22299955,1.019449282,1.037336172,1.030325927,-0.621622408,-0.61042448,-0.600071089,-0.404962951,-0.40033245,-0.407038858,-2.075997752,-2.060102532,-2.075855006,-0.894371342,1.020714684,-0.614046682,-0.426708333,-2.073581068,-0.412276604,-0.761235011,-1.368519452,-2.011415697,-0.305081386,-0.436437046,-0.299454464,0.048766444,0.173050983,0.198632921,-0.411781137,-0.393200334,-0.424106989,0.424106989,0.102122366,0.34070619,0.046645622,-0.24355193,0.276806701,0.17640183,0.367817774,-0.433867569,-0.187201541,-0.005240358,0.365208985,-0.397714694,0.035380292,-0.226530531,10/13/2020 16:30
